x coordinate,y coordinate,z coordinate,robust objective function,deterministic objective function
-0.144085485,0.102604394,-0.222764249,0.002500733,0.002486991
0.926666203,-0.494607942,1.660057593,0.00252307,0.002519702
-0.896705117,-0.034377706,-2.225068823,0.002536961,0.002540637
0.714128226,-0.703815503,2.388592939,0.002545612,0.00255321
1.55095052,1.682605836,3.314576218,0.002548161,0.002575146
2.108049118,-1.186341841,4.709670628,0.002653053,0.002721781
1.782397054,6.496229518,0.494758329,0.002483122,0.002470454
-0.395774012,-3.502461506,3.441801387,0.002650171,0.002680675
-1.477442071,-2.299216244,-4.667891526,0.002692136,0.002755769
-4.249430953,3.440822677,-8.083194461,0.002893066,0.003118806
3.189000611,-1.072417312,8.254228924,0.002938551,0.003176369
2.826347331,8.648405162,-2.342969196,0.002547768,0.002554757
-4.860020446,4.494590563,-10.86405046,0.003223351,0.003642138
-5.733074463,1.532289692,-11.87023129,0.003398544,0.003899569
-1.7437119,1.537937625,3.527589353,0.002565969,0.00259795
0.781983305,-3.953098306,9.09716226,0.003102633,0.003394036
3.541946185,-6.651739773,12.53326853,0.003637926,0.004204614
3.776225808,-7.075162568,1.483038518,0.00267694,0.002671136
-4.200445455,2.744326107,-13.78892313,0.003690001,0.004369243
3.88041225,16.68323562,-4.125202206,0.002877238,0.002928073
-6.260914333,7.908439814,-17.05601307,0.004326036,0.005379455
2.021588475,11.20851155,-9.128036072,0.003088427,0.00338054
4.757935586,-17.54995821,12.09589829,0.004128798,0.004661084
-8.03511605,1.321491505,-19.40774105,0.004911008,0.006272643
-4.872717549,-23.0197306,4.64926231,0.003985015,0.004053695
-6.067063523,-3.620966522,3.979606715,0.002724384,0.002771072
3.521132522,11.23634209,11.95122723,0.003483065,0.003985403
-2.91966658,16.56505776,-18.22339332,0.004795365,0.006003336
10.45017783,-1.298229441,4.723829267,0.002652731,0.002727672
-10.8598359,-7.191386411,-1.210663347,0.002835696,0.002833615
-2.236456998,-21.76041841,13.53814922,0.004822043,0.005490584
-3.227704713,-30.31509602,2.245345875,0.004635278,0.004635982
12.4859598,-2.617677335,27.70670124,0.007384698,0.010193871
19.01359945,17.20103,19.62424962,0.005493543,0.006900343
0.682572236,30.97918953,-13.85314437,0.004896662,0.005597349
-16.15048177,-28.35401388,-9.327527231,0.005332877,0.005635059
-2.038497335,29.52714704,-5.267773427,0.003688119,0.003777554
-3.536623016,-19.4586751,-12.97929528,0.004587909,0.005165015
20.84679831,5.530695757,18.92316176,0.004886885,0.006212023
5.913614747,18.10637397,-13.9520384,0.004094285,0.00479742
